Key Financial Ratios of Adani Enterprises (in Rs. Cr.),Mar 04,
Per Share Ratios,,
Basic EPS (Rs.),56.28,
Diluted EPS (Rs.),56.28,
Cash EPS (Rs.),57.19,
Book Value [ExclRevalReserve]/Share (Rs.),278.33,
Book Value [InclRevalReserve]/Share (Rs.),278.33,
Dividend / Share(Rs.),4.00,
Revenue from Operations/Share (Rs.),"3,197.76",
PBDIT/Share (Rs.),96.53,
PBIT/Share (Rs.),95.71,
PBT/Share (Rs.),56.76,
Net Profit/Share (Rs.),56.28,
Profitability Ratios,,
PBDIT Margin (%),3.01,
PBIT Margin (%),2.99,
PBT Margin (%),1.77,
Net Profit Margin (%),1.75,
Return on Networth / Equity (%),20.21,
Return on Capital Employed (%),13.71,
Return on Assets (%),5.65,
Total Debt/Equity (X),1.08,
Asset Turnover Ratio (%),321.16,
Liquidity Ratios,,
Current Ratio (X),1.62,
Quick Ratio (X),1.45,
Inventory Turnover Ratio (X),32.13,
Dividend Payout Ratio (NP) (%),7.10,
Dividend Payout Ratio (CP) (%),6.99,
Earnings Retention Ratio (%),92.90,
Cash Earnings Retention Ratio (%),93.01,
Valuation Ratios,,
Enterprise Value (Cr.),"1,355.24",
EV/Net Operating Revenue (X),0.19,
EV/EBITDA (X),6.37,
MarketCap/Net Operating Revenue (X),0.13,
Retention Ratios (%),92.89,
Price/BV (X),1.44,
Price/Net Operating Revenue,0.13,
Earnings Yield,0.14,
