Key Financial Ratios of Adani Ports and Special Economic Zone (in Rs. Cr.),Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,
Per Share Ratios,,,,,,
Basic EPS (Rs.),8.05,-2.22,1.41,9.49,9.43,
Diluted EPS (Rs.),8.05,-2.22,1.41,9.49,9.43,
Cash EPS (Rs.),11.08,0.62,4.25,12.54,12.24,
Book Value [ExclRevalReserve]/Share (Rs.),135.12,132.10,125.05,106.48,96.95,
Book Value [InclRevalReserve]/Share (Rs.),135.12,132.10,125.05,106.48,96.95,
Dividend / Share(Rs.),6.00,5.00,5.00,5.00,3.20,
Revenue from Operations/Share (Rs.),31.51,24.24,19.91,21.54,22.85,
PBDIT/Share (Rs.),29.64,18.11,20.48,28.82,21.35,
PBIT/Share (Rs.),26.60,15.27,17.64,25.77,18.62,
PBT/Share (Rs.),11.72,-4.76,2.94,14.32,10.00,
Net Profit/Share (Rs.),8.05,-2.22,1.41,9.49,9.52,
Profitability Ratios,,,,,,
PBDIT Margin (%),94.05,74.70,102.86,133.77,93.40,
PBIT Margin (%),84.42,63.00,88.61,119.63,81.48,
PBT Margin (%),37.19,-19.63,14.78,66.47,43.75,
Net Profit Margin (%),25.53,-9.15,7.07,44.04,41.65,
Return on Networth / Equity (%),5.95,-1.68,1.12,8.91,9.81,
Return on Capital Employed (%),7.81,4.49,5.49,9.79,8.35,
Return on Assets (%),2.10,-0.60,0.39,3.29,3.73,
Total Debt/Equity (X),1.70,1.65,1.68,1.51,1.36,
Asset Turnover Ratio (%),0.08,0.07,0.06,0.08,8.96,
Liquidity Ratios,,,,,,
Current Ratio (X),0.83,1.07,1.29,1.56,1.59,
Quick Ratio (X),0.82,1.06,1.28,1.55,1.58,
Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,53.42,
Dividend Payout Ratio (NP) (%),62.13,-225.28,343.08,0.00,35.75,
Dividend Payout Ratio (CP) (%),45.11,808.73,113.78,0.00,27.80,
Earnings Retention Ratio (%),37.87,325.28,-243.08,0.00,64.25,
Cash Earnings Retention Ratio (%),54.89,-708.73,-13.78,0.00,72.20,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"335,775.00","181,713.54","201,872.03","172,000.61","73,453.58",
EV/Net Operating Revenue (X),49.33,34.70,47.99,39.30,15.82,
EV/EBITDA (X),52.45,46.45,46.66,29.37,16.94,
MarketCap/Net Operating Revenue (X),42.58,26.06,38.88,32.62,11.00,
Retention Ratios (%),37.86,325.28,-243.08,0.00,64.24,
Price/BV (X),9.93,4.78,6.19,6.60,2.59,
Price/Net Operating Revenue,42.58,26.06,38.88,32.62,11.00,
Earnings Yield,0.01,0.00,0.00,0.01,0.04,
