Key Financial Ratios of Adani Ports and Special Economic Zone (in Rs. Cr.),Mar 04,
Per Share Ratios,,
Basic EPS (Rs.),0.20,
Diluted EPS (Rs.),0.20,
Cash EPS (Rs.),2.05,
Book Value [ExclRevalReserve]/Share (Rs.),33.25,
Book Value [InclRevalReserve]/Share (Rs.),33.25,
Dividend / Share(Rs.),0.00,
Revenue from Operations/Share (Rs.),7.55,
PBDIT/Share (Rs.),4.97,
PBIT/Share (Rs.),3.24,
PBT/Share (Rs.),0.13,
Net Profit/Share (Rs.),0.20,
Profitability Ratios,,
PBDIT Margin (%),65.84,
PBIT Margin (%),42.94,
PBT Margin (%),1.76,
Net Profit Margin (%),2.59,
Return on Networth / Equity (%),0.58,
Return on Capital Employed (%),0.36,
Return on Assets (%),0.21,
Total Debt/Equity (X),0.55,
Asset Turnover Ratio (%),8.18,
Liquidity Ratios,,
Current Ratio (X),0.34,
Quick Ratio (X),0.34,
Inventory Turnover Ratio (X),681.12,
Dividend Payout Ratio (NP) (%),0.00,
Dividend Payout Ratio (CP) (%),0.00,
Earnings Retention Ratio (%),100.00,
Cash Earnings Retention Ratio (%),100.00,
Valuation Ratios,,
Enterprise Value (Cr.),0.00,
EV/Net Operating Revenue (X),0.00,
EV/EBITDA (X),0.00,
MarketCap/Net Operating Revenue (X),0.00,
Retention Ratios (%),100.00,
Price/BV (X),0.00,
Price/Net Operating Revenue,0.00,
Earnings Yield,0.00,
