Key Financial Ratios of Bharti Airtel (in Rs. Cr.),Mar 09,Mar 08,Mar 07,Mar 06,Mar 05,
Per Share Ratios,,,,,,
Basic EPS (Rs.),40.79,32.90,21.27,10.62,-2.91,
Diluted EPS (Rs.),40.79,32.90,21.27,10.62,-2.91,
Cash EPS (Rs.),58.63,50.99,34.41,18.86,3.46,
Book Value [ExclRevalReserve]/Share (Rs.),145.01,106.34,60.19,38.71,24.44,
Book Value [InclRevalReserve]/Share (Rs.),145.02,106.35,60.20,38.72,24.45,
Dividend / Share(Rs.),2.00,0.00,0.00,0.00,0.00,
Revenue from Operations/Share (Rs.),179.37,135.73,94.16,59.45,43.93,
PBDIT/Share (Rs.),60.77,54.39,37.72,20.58,15.32,
PBIT/Share (Rs.),43.88,37.70,25.31,13.02,9.82,
PBT/Share (Rs.),42.73,36.55,24.21,11.98,8.32,
Net Profit/Share (Rs.),40.79,32.90,21.27,10.62,-2.91,
Profitability Ratios,,,,,,
PBDIT Margin (%),33.87,40.06,40.05,34.61,34.87,
PBIT Margin (%),24.46,27.77,26.87,21.89,22.35,
PBT Margin (%),23.82,26.92,25.71,20.14,18.93,
Net Profit Margin (%),22.74,24.23,22.59,17.87,-6.62,
Return on Networth / Equity (%),28.13,30.93,35.34,27.44,-11.90,
Return on Capital Employed (%),21.84,23.27,24.10,16.60,-5.83,
Return on Assets (%),15.54,15.16,14.50,10.36,-3.78,
Total Debt/Equity (X),0.28,0.33,0.47,0.65,1.10,
Asset Turnover Ratio (%),68.33,62.56,64.22,57.99,57.19,
Liquidity Ratios,,,,,,
Current Ratio (X),0.66,0.56,0.48,0.45,0.47,
Quick Ratio (X),0.65,0.55,0.47,0.44,0.46,
Inventory Turnover Ratio (X),547.83,453.06,373.35,634.52,257.80,
Dividend Payout Ratio (NP) (%),4.90,0.00,0.00,0.00,0.00,
Dividend Payout Ratio (CP) (%),3.41,0.00,0.00,0.00,0.00,
Earnings Retention Ratio (%),95.10,0.00,0.00,0.00,0.00,
Cash Earnings Retention Ratio (%),96.59,0.00,0.00,0.00,0.00,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"124,253.89","162,853.53","149,228.04","82,677.67","42,947.05",
EV/Net Operating Revenue (X),3.65,6.32,8.36,7.34,5.27,
EV/EBITDA (X),10.77,15.78,20.87,21.21,15.13,
MarketCap/Net Operating Revenue (X),3.49,6.09,8.11,6.94,4.71,
Retention Ratios (%),95.09,0.00,0.00,0.00,0.00,
Price/BV (X),4.32,7.77,12.68,10.67,8.47,
Price/Net Operating Revenue,3.49,6.09,8.11,6.94,4.71,
Earnings Yield,0.07,0.04,0.03,0.03,-0.01,
