Key Financial Ratios of Apollo Hospitals Enterprises (in Rs. Cr.),Mar 04,
Per Share Ratios,,
Basic EPS (Rs.),9.19,
Diluted EPS (Rs.),9.19,
Cash EPS (Rs.),15.27,
Book Value [ExclRevalReserve]/Share (Rs.),62.42,
Book Value [InclRevalReserve]/Share (Rs.),62.42,
Dividend / Share(Rs.),3.50,
Revenue from Operations/Share (Rs.),126.46,
PBDIT/Share (Rs.),24.62,
PBIT/Share (Rs.),19.29,
PBT/Share (Rs.),14.83,
Net Profit/Share (Rs.),9.19,
Profitability Ratios,,
PBDIT Margin (%),19.46,
PBIT Margin (%),15.25,
PBT Margin (%),11.72,
Net Profit Margin (%),7.26,
Return on Networth / Equity (%),14.71,
Return on Capital Employed (%),8.50,
Return on Assets (%),6.38,
Total Debt/Equity (X),0.63,
Asset Turnover Ratio (%),87.87,
Liquidity Ratios,,
Current Ratio (X),1.47,
Quick Ratio (X),1.24,
Inventory Turnover Ratio (X),15.04,
Dividend Payout Ratio (NP) (%),38.09,
Dividend Payout Ratio (CP) (%),22.91,
Earnings Retention Ratio (%),61.91,
Cash Earnings Retention Ratio (%),77.09,
Valuation Ratios,,
Enterprise Value (Cr.),808.52,
EV/Net Operating Revenue (X),1.62,
EV/EBITDA (X),8.31,
MarketCap/Net Operating Revenue (X),1.33,
Retention Ratios (%),61.90,
Price/BV (X),2.70,
Price/Net Operating Revenue,1.33,
Earnings Yield,0.05,
