Balance Sheet of Axis Bank (in Rs. Cr.),Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,
EQUITIES AND LIABILITIES,,,,,
SHAREHOLDER'S FUNDS,,,,,
Equity Share Capital,469.84,467.95,413.20,410.55,
Total Share Capital,469.84,467.95,413.20,410.55,
Revaluation Reserve,0.00,0.00,0.00,0.00,
Reserves and Surplus,"37,750.64","32,639.91","22,395.34","18,588.28",
Total Reserves and Surplus,"37,750.64","32,639.91","22,395.34","18,588.28",
Total ShareHolders Funds,"38,220.49","33,107.86","22,808.54","18,998.83",
Deposits,"280,944.56","252,613.59","220,104.30","189,237.80",
Borrowings,"50,290.94","43,951.10","34,071.67","26,267.88",
Other Liabilities and Provisions,"13,788.89","10,888.11","8,643.28","8,208.86",
Total Capital and Liabilities,"383,244.89","340,560.66","285,627.79","242,713.37",
ASSETS,,,,,
Cash and Balances with Reserve Bank of India,"17,041.32","14,792.09","10,702.92","13,886.16",
Balances with Banks Money at Call and Short Notice,"11,197.38","5,642.87","3,230.99","7,522.49",
Investments,"113,548.43","113,737.54","93,192.09","71,991.62",
Advances,"230,066.76","196,965.96","169,759.54","142,407.83",
Fixed Assets,"2,410.21","2,355.64","2,259.33","2,273.15",
Other Assets,"8,980.79","7,066.56","6,482.93","4,632.12",
Total Assets,"383,244.89","340,560.66","285,627.79","242,713.37",
OTHER ADDITIONAL INFORMATION,,,,,
Number of Branches,"2,402.00","1,947.00","1,622.00","1,390.00",
Number of Employees,"42,420.00","37,901.00","31,738.00","26,435.00",
Capital Adequacy Ratios (%),16.07,17.00,13.66,12.65,
KEY PERFORMANCE INDICATORS,,,,,
Tier 1 (%),12.62,12.23,9.45,9.41,
Tier 2 (%),3.45,4.77,4.21,3.24,
ASSETS QUALITY,,,,,
Gross NPA,"3,146.41","2,393.42","1,806.30","1,599.42",
Gross NPA (%),1.00,1.00,1.00,1.00,
Net NPA,"1,024.62",704.13,"1,186.74","1,186.74",
Net NPA (%),0.44,0.36,0.25,0.26,
Net NPA To Advances (%),0.00,0.00,0.00,0.00,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,
Bills for Collection,"36,601.58","27,894.88","34,634.60","32,473.11",
Contingent Liabilities,"611,446.37","576,010.77","514,871.98","477,864.55",
