Key Financial Ratios of Bajaj Auto (in Rs. Cr.),Mar 14,Mar 13,Mar 12,Mar 11,Mar 10,
Per Share Ratios,,,,,,
Basic EPS (Rs.),112.10,105.20,103.80,115.40,117.51,
Diluted EPS (Rs.),112.10,105.20,103.80,115.40,117.51,
Cash EPS (Rs.),118.29,110.85,108.85,119.66,126.94,
Book Value [ExclRevalReserve]/Share (Rs.),332.03,273.07,208.77,169.69,202.40,
Book Value [InclRevalReserve]/Share (Rs.),332.03,273.07,208.77,169.69,202.40,
Dividend / Share(Rs.),50.00,45.00,45.00,40.00,40.00,
Revenue from Operations/Share (Rs.),696.32,691.06,674.88,566.69,816.51,
PBDIT/Share (Rs.),166.30,153.12,149.57,129.51,173.07,
PBIT/Share (Rs.),160.09,147.45,144.54,125.27,163.64,
PBT/Share (Rs.),160.07,147.43,139.14,150.25,163.23,
Net Profit/Share (Rs.),112.08,105.18,103.81,115.41,117.51,
Profitability Ratios,,,,,,
PBDIT Margin (%),23.88,22.15,22.16,22.85,21.19,
PBIT Margin (%),22.99,21.33,21.41,22.10,20.04,
PBT Margin (%),22.98,21.33,20.61,26.51,19.99,
Net Profit Margin (%),16.09,15.21,15.38,20.36,14.39,
Return on Networth / Equity (%),33.75,38.51,49.72,68.01,58.05,
Return on Capital Employed (%),32.37,36.47,46.53,61.93,38.24,
Return on Assets (%),21.99,24.39,27.10,36.11,19.46,
Total Debt/Equity (X),0.01,0.01,0.02,0.06,0.46,
Asset Turnover Ratio (%),136.62,160.25,176.23,177.32,135.26,
Liquidity Ratios,,,,,,
Current Ratio (X),1.19,1.50,1.12,0.79,0.68,
Quick Ratio (X),1.05,1.35,0.98,0.64,0.58,
Inventory Turnover Ratio (X),31.50,31.43,28.78,29.96,26.47,
Dividend Payout Ratio (NP) (%),44.60,42.78,43.34,34.65,34.04,
Dividend Payout Ratio (CP) (%),42.26,40.59,41.34,33.42,31.51,
Earnings Retention Ratio (%),55.40,57.22,56.66,65.35,65.96,
Cash Earnings Retention Ratio (%),57.74,59.41,58.66,66.58,68.49,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"59,702.03","51,451.43","46,997.04","42,305.17","30,333.76",
EV/Net Operating Revenue (X),2.96,2.57,2.41,2.58,2.57,
EV/EBITDA (X),12.41,11.61,10.86,11.29,12.11,
MarketCap/Net Operating Revenue (X),2.98,2.60,2.49,2.58,2.46,
Retention Ratios (%),55.39,57.21,56.65,65.34,65.95,
Price/BV (X),6.26,6.57,8.04,8.60,9.94,
Price/Net Operating Revenue,2.98,2.60,2.49,2.58,2.46,
Earnings Yield,0.05,0.06,0.06,0.08,0.06,
