Key Financial Ratios of Bajaj Finance (in Rs. Cr.),Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,
Per Share Ratios,,,,,,
Basic EPS (Rs.),207.27,170.37,105.39,65.85,83.25,
Diluted EPS (Rs.),206.47,169.51,104.63,65.33,82.60,
Cash EPS (Rs.),214.78,177.57,111.15,70.77,85.87,
Book Value [ExclRevalReserve]/Share (Rs.),"1,165.22",851.90,697.10,597.39,530.26,
Book Value [InclRevalReserve]/Share (Rs.),"1,165.22",851.90,697.10,597.39,530.26,
Dividend / Share(Rs.),36.00,30.00,20.00,10.00,10.00,
Revenue from Operations/Share (Rs.),759.53,590.31,461.86,391.16,397.08,
PBDIT/Share (Rs.),510.12,390.61,273.73,217.94,248.96,
PBIT/Share (Rs.),499.94,383.27,267.85,212.92,244.45,
PBT/Share (Rs.),275.94,229.66,142.32,89.14,113.48,
Net Profit/Share (Rs.),204.60,170.23,105.26,65.75,81.36,
Profitability Ratios,,,,,,
PBDIT Margin (%),67.16,66.17,59.26,55.71,62.69,
PBIT Margin (%),65.82,64.92,57.99,54.43,61.56,
PBT Margin (%),36.33,38.90,30.81,22.78,28.57,
Net Profit Margin (%),26.93,28.83,22.79,16.80,20.48,
Return on Networth / Equity (%),17.55,19.98,15.10,11.00,15.34,
Return on Capital Employed (%),13.78,13.95,11.88,11.69,14.72,
Return on Assets (%),4.26,4.75,3.77,2.85,3.53,
Total Debt/Equity (X),3.06,3.14,2.93,2.78,3.28,
Asset Turnover Ratio (%),0.18,0.19,0.18,0.17,0.19,
Liquidity Ratios,,,,,,
Current Ratio (X),4.03,4.22,5.16,4.71,3.53,
Quick Ratio (X),4.03,4.22,5.16,4.71,3.53,
Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,
Dividend Payout Ratio (NP) (%),14.35,11.73,9.48,0.00,23.38,
Dividend Payout Ratio (CP) (%),13.67,11.24,8.98,0.00,22.15,
Earnings Retention Ratio (%),85.65,88.27,90.52,0.00,76.62,
Cash Earnings Retention Ratio (%),86.33,88.76,91.02,0.00,77.85,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"658,400.02","497,788.02","558,081.02","408,237.90","236,478.55",
EV/Net Operating Revenue (X),14.03,13.95,20.03,17.35,9.93,
EV/EBITDA (X),20.88,21.08,33.79,31.14,15.83,
MarketCap/Net Operating Revenue (X),9.53,9.51,15.72,13.16,5.58,
Retention Ratios (%),85.64,88.26,90.51,0.00,76.61,
Price/BV (X),6.21,6.59,10.41,8.62,4.18,
Price/Net Operating Revenue,9.53,9.51,15.72,13.16,5.58,
Earnings Yield,0.03,0.03,0.01,0.01,0.04,
