Key Financial Ratios of Bajaj Finance (in Rs. Cr.),Mar 04,
Per Share Ratios,,
Basic EPS (Rs.),23.39,
Diluted EPS (Rs.),23.39,
Cash EPS (Rs.),24.53,
Book Value [ExclRevalReserve]/Share (Rs.),141.85,
Book Value [InclRevalReserve]/Share (Rs.),141.85,
Dividend / Share(Rs.),6.00,
Revenue from Operations/Share (Rs.),65.54,
PBDIT/Share (Rs.),42.11,
PBIT/Share (Rs.),40.97,
PBT/Share (Rs.),29.34,
Net Profit/Share (Rs.),23.39,
Profitability Ratios,,
PBDIT Margin (%),64.25,
PBIT Margin (%),62.51,
PBT Margin (%),44.76,
Net Profit Margin (%),35.68,
Return on Networth / Equity (%),16.48,
Return on Capital Employed (%),13.90,
Return on Assets (%),4.10,
Total Debt/Equity (X),1.47,
Asset Turnover Ratio (%),11.49,
Liquidity Ratios,,
Current Ratio (X),1.37,
Quick Ratio (X),0.27,
Inventory Turnover Ratio (X),0.15,
Dividend Payout Ratio (NP) (%),25.65,
Dividend Payout Ratio (CP) (%),24.46,
Earnings Retention Ratio (%),74.35,
Cash Earnings Retention Ratio (%),75.54,
Valuation Ratios,,
Enterprise Value (Cr.),445.08,
EV/Net Operating Revenue (X),4.12,
EV/EBITDA (X),6.41,
MarketCap/Net Operating Revenue (X),1.17,
Retention Ratios (%),74.34,
Price/BV (X),0.54,
Price/Net Operating Revenue,1.17,
Earnings Yield,0.31,
