Key Financial Ratios of Bajaj Finserv (in Rs. Cr.),Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,
Per Share Ratios,,,,,,
Basic EPS (Rs.),7.30,4.60,26.70,11.20,41.90,
Diluted EPS (Rs.),7.30,4.60,26.60,11.20,41.90,
Cash EPS (Rs.),7.36,4.62,26.92,11.53,42.09,
Book Value [ExclRevalReserve]/Share (Rs.),41.21,32.95,274.49,238.84,222.16,
Book Value [InclRevalReserve]/Share (Rs.),41.21,32.95,274.49,238.84,222.16,
Dividend / Share(Rs.),1.00,0.80,4.00,3.00,5.00,
Revenue from Operations/Share (Rs.),10.66,6.76,39.20,20.34,49.00,
PBDIT/Share (Rs.),9.66,6.14,35.66,15.70,43.03,
PBIT/Share (Rs.),9.64,6.12,35.39,15.40,42.85,
PBT/Share (Rs.),9.64,6.12,35.39,15.40,42.85,
Net Profit/Share (Rs.),7.34,4.60,26.66,11.23,41.90,
Profitability Ratios,,,,,,
PBDIT Margin (%),90.64,90.83,90.96,77.15,87.80,
PBIT Margin (%),90.44,90.53,90.28,75.71,87.43,
PBT Margin (%),90.44,90.53,90.28,75.71,87.43,
Net Profit Margin (%),68.85,68.04,68.00,55.22,85.51,
Return on Networth / Equity (%),17.81,13.95,9.71,4.70,18.86,
Return on Capital Employed (%),23.29,18.46,12.80,6.39,19.12,
Return on Assets (%),17.59,13.77,9.55,4.62,18.52,
Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.00,
Asset Turnover Ratio (%),0.28,0.22,0.15,8.36,21.66,
Liquidity Ratios,,,,,,
Current Ratio (X),122.59,126.96,105.63,107.24,98.41,
Quick Ratio (X),122.59,126.96,105.63,107.24,98.41,
Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,
Dividend Payout Ratio (NP) (%),10.89,8.68,11.25,0.00,17.89,
Dividend Payout Ratio (CP) (%),10.85,8.65,11.14,0.00,17.82,
Earnings Retention Ratio (%),89.11,91.32,88.75,0.00,82.11,
Cash Earnings Retention Ratio (%),89.15,91.35,88.86,0.00,82.18,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"261,992.72","201,671.19","271,345.87","153,728.70","73,036.32",
EV/Net Operating Revenue (X),154.18,187.34,434.97,474.87,93.65,
EV/EBITDA (X),170.08,206.25,478.19,615.46,106.66,
MarketCap/Net Operating Revenue (X),154.19,187.35,435.00,475.25,93.66,
Retention Ratios (%),89.10,91.31,88.74,0.00,82.10,
Price/BV (X),39.89,38.43,62.12,40.48,20.66,
Price/Net Operating Revenue,154.19,187.35,435.00,475.26,93.66,
Earnings Yield,0.00,0.00,0.00,0.00,0.01,
