Key Financial Ratios of Bharat Electronics (in Rs. Cr.),Mar 09,Mar 08,Mar 07,Mar 06,Mar 05,
Per Share Ratios,,,,,,
Basic EPS (Rs.),93.22,103.34,89.77,72.88,55.79,
Diluted EPS (Rs.),93.22,103.34,89.77,72.88,55.79,
Cash EPS (Rs.),106.42,114.92,100.34,82.84,64.72,
Book Value [ExclRevalReserve]/Share (Rs.),475.89,404.14,324.02,255.31,199.16,
Book Value [InclRevalReserve]/Share (Rs.),475.89,404.14,324.02,255.31,199.16,
Dividend / Share(Rs.),18.70,20.70,18.00,14.60,11.20,
Revenue from Operations/Share (Rs.),574.24,508.90,487.63,439.21,398.92,
PBDIT/Share (Rs.),156.85,152.62,141.37,120.38,93.50,
PBIT/Share (Rs.),143.66,141.04,130.80,110.42,84.57,
PBT/Share (Rs.),142.31,141.01,130.70,107.06,83.44,
Net Profit/Share (Rs.),93.22,103.34,89.77,72.88,55.79,
Profitability Ratios,,,,,,
PBDIT Margin (%),27.31,29.99,28.99,27.40,23.43,
PBIT Margin (%),25.01,27.71,26.82,25.13,21.19,
PBT Margin (%),24.78,27.70,26.80,24.37,20.91,
Net Profit Margin (%),16.23,20.30,18.40,16.59,13.98,
Return on Networth / Equity (%),19.58,25.57,27.70,28.54,28.01,
Return on Capital Employed (%),19.35,25.23,27.27,27.95,27.31,
Return on Assets (%),8.63,11.70,12.05,11.05,10.12,
Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.01,
Asset Turnover Ratio (%),53.16,57.65,65.49,66.61,72.37,
Liquidity Ratios,,,,,,
Current Ratio (X),1.65,1.70,1.60,1.48,1.40,
Quick Ratio (X),1.13,1.32,1.21,1.13,1.00,
Inventory Turnover Ratio (X),1.83,2.86,2.95,3.19,2.86,
Dividend Payout Ratio (NP) (%),20.06,20.03,20.05,20.03,20.07,
Dividend Payout Ratio (CP) (%),17.57,18.01,17.93,17.62,17.30,
Earnings Retention Ratio (%),79.94,79.97,79.95,79.97,79.93,
Cash Earnings Retention Ratio (%),82.43,81.99,82.07,82.38,82.70,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"4,422.47","6,003.88","9,927.99","8,751.00","4,021.84",
EV/Net Operating Revenue (X),0.96,1.47,2.54,2.49,1.26,
EV/EBITDA (X),3.52,4.92,8.78,9.09,5.38,
MarketCap/Net Operating Revenue (X),1.54,2.08,3.08,3.01,1.67,
Retention Ratios (%),79.93,79.96,79.94,79.96,79.92,
Price/BV (X),1.86,2.62,4.63,5.18,3.34,
Price/Net Operating Revenue,1.54,2.08,3.08,3.01,1.67,
Earnings Yield,0.11,0.10,0.06,0.06,0.08,
