Key Financial Ratios of Bharat Petroleum Corporation (in Rs. Cr.),Mar 09,Mar 08,Mar 07,Mar 06,Mar 05,
Per Share Ratios,,,,,,
Basic EPS (Rs.),20.35,43.72,49.94,9.72,32.19,
Diluted EPS (Rs.),20.35,43.72,49.94,9.72,32.19,
Cash EPS (Rs.),50.10,74.09,74.95,35.32,52.06,
Book Value [ExclRevalReserve]/Share (Rs.),335.46,322.97,284.16,302.60,212.95,
Book Value [InclRevalReserve]/Share (Rs.),335.46,322.97,284.16,302.60,212.95,
Dividend / Share(Rs.),7.00,4.00,16.00,2.50,12.50,
Revenue from Operations/Share (Rs.),"3,708.40","3,048.28","2,670.70","2,517.78","1,929.25",
PBDIT/Share (Rs.),117.33,117.35,118.07,46.86,69.91,
PBIT/Share (Rs.),87.58,86.97,93.06,21.26,50.04,
PBT/Share (Rs.),27.66,68.37,79.86,13.01,45.38,
Net Profit/Share (Rs.),20.35,43.72,49.94,9.72,32.19,
Profitability Ratios,,,,,,
PBDIT Margin (%),3.16,3.84,4.42,1.86,3.62,
PBIT Margin (%),2.36,2.85,3.48,0.84,2.59,
PBT Margin (%),0.74,2.24,2.99,0.51,2.35,
Net Profit Margin (%),0.54,1.43,1.86,0.38,1.66,
Return on Networth / Equity (%),6.06,13.53,17.57,3.21,15.11,
Return on Capital Employed (%),4.14,9.09,12.79,2.35,11.02,
Return on Assets (%),1.53,3.67,5.30,1.02,4.70,
Total Debt/Equity (X),1.75,1.29,1.05,0.92,0.61,
Asset Turnover Ratio (%),279.35,255.91,283.48,265.10,282.22,
Liquidity Ratios,,,,,,
Current Ratio (X),0.55,0.80,0.73,0.83,0.88,
Quick Ratio (X),0.32,0.39,0.29,0.26,0.35,
Inventory Turnover Ratio (X),19.65,10.39,11.15,8.35,9.25,
Dividend Payout Ratio (NP) (%),34.39,9.14,32.03,30.99,38.82,
Dividend Payout Ratio (CP) (%),13.97,5.39,21.34,8.52,24.01,
Earnings Retention Ratio (%),65.61,90.86,67.97,69.01,61.18,
Cash Earnings Retention Ratio (%),86.03,94.61,78.66,91.48,75.99,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"34,347.26","28,929.20","20,892.87","20,663.00","14,143.22",
EV/Net Operating Revenue (X),0.26,0.26,0.22,0.27,0.24,
EV/EBITDA (X),8.10,6.82,4.89,14.70,6.74,
MarketCap/Net Operating Revenue (X),0.10,0.13,0.11,0.17,0.18,
Retention Ratios (%),65.60,90.85,67.96,69.00,61.17,
Price/BV (X),1.12,1.27,1.06,1.41,1.66,
Price/Net Operating Revenue,0.10,0.13,0.11,0.17,0.18,
Earnings Yield,0.05,0.11,0.17,0.02,0.09,
