Key Financial Ratios of Bharat Petroleum Corporation (in Rs. Cr.),Mar 04,
Per Share Ratios,,
Basic EPS (Rs.),56.49,
Diluted EPS (Rs.),56.49,
Cash EPS (Rs.),75.19,
Book Value [ExclRevalReserve]/Share (Rs.),194.99,
Book Value [InclRevalReserve]/Share (Rs.),194.99,
Dividend / Share(Rs.),17.50,
Revenue from Operations/Share (Rs.),"1,599.47",
PBDIT/Share (Rs.),110.58,
PBIT/Share (Rs.),91.87,
PBT/Share (Rs.),88.38,
Net Profit/Share (Rs.),56.49,
Profitability Ratios,,
PBDIT Margin (%),6.91,
PBIT Margin (%),5.74,
PBT Margin (%),5.52,
Net Profit Margin (%),3.53,
Return on Networth / Equity (%),28.96,
Return on Capital Employed (%),21.17,
Return on Assets (%),9.42,
Total Debt/Equity (X),0.46,
Asset Turnover Ratio (%),266.94,
Liquidity Ratios,,
Current Ratio (X),0.84,
Quick Ratio (X),0.41,
Inventory Turnover Ratio (X),11.20,
Dividend Payout Ratio (NP) (%),30.98,
Dividend Payout Ratio (CP) (%),23.27,
Earnings Retention Ratio (%),69.02,
Cash Earnings Retention Ratio (%),76.73,
Valuation Ratios,,
Enterprise Value (Cr.),"16,427.12",
EV/Net Operating Revenue (X),0.34,
EV/EBITDA (X),4.95,
MarketCap/Net Operating Revenue (X),0.30,
Retention Ratios (%),69.01,
Price/BV (X),2.46,
Price/Net Operating Revenue,0.30,
Earnings Yield,0.12,
