Yearly Results of HDFC Life Insurance Company (in Rs. Cr.),Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,
Net Sales/Income from operations,"61,959.22","56,764.01","45,396.46","38,122.30","1,191.39",
Other Operating Income,"39,356.48","14,196.75","20,005.32","33,325.14",437.81,
Total Income From Operations,"101,315.70","70,960.76","65,401.78","71,447.44","1,629.20",
EXPENDITURE,,,,,,
Consumption of Raw Materials,--,--,--,--,--,
Purchase of Traded Goods,--,--,--,--,--,
Increase/Decrease in Stocks,--,--,--,--,--,
Power & Fuel,--,--,--,--,--,
Employees Cost,"3,242.04","3,048.98","2,029.03","1,675.58",--,
Depreciation,--,--,--,--,--,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,-89.13,4.32,-286.72,-225.85,197.85,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,"97,689.13","68,007.64","63,090.47","68,704.24",138.17,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",473.66,-100.18,569.00,"1,293.47","1,293.18",
Other Income,473.80,527.60,745.97,441.95,18.56,
"P/L Before Int., Excpt. Items & Tax",947.46,427.42,"1,314.97","1,735.42","1,311.74",
Interest,--,--,--,--,--,
P/L Before Exceptional Items & Tax,947.46,427.42,"1,314.97","1,735.42","1,311.74",
Exceptional Items,--,--,--,--,--,
P/L Before Tax,947.46,427.42,"1,314.97","1,735.42","1,311.74",
Tax,-597.41,71.39,156.96,267.78,16.47,
P/L After Tax from Ordinary Activities,"1,544.87",356.03,"1,158.01","1,467.64","1,295.27",
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,23.96,"1,004.10",49.68,-107.54,--,
Net Profit/(Loss) For the Period,"1,568.83","1,360.13","1,207.69","1,360.10","1,295.27",
Equity Share Capital,"2,150.94","2,149.40","2,112.62","2,020.94","2,018.80",
Reserves Excluding Revaluation Reserves,"12,500.80","10,834.26","13,369.97","9,169.81","4,775.53",
Equity Dividend Rate (%),20.00,19.00,17.00,20.20,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,7.30,6.38,5.91,6.73,6.42,
Diluted EPS,7.29,6.37,5.90,6.73,6.41,
EPS After Extra Ordinary,,,,,,
Basic EPS.,7.30,6.38,5.91,6.73,6.42,
Diluted EPS.,7.29,6.37,5.90,6.73,6.41,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
