Yearly Results of ICICI Prudential Life Insurance Company (in Rs. Cr.),Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,
Net Sales/Income from operations,"41,759.67","38,559.54","36,321.27","34,973.37","1,988.71",
Other Operating Income,"47,919.54","10,840.66","24,537.19","48,206.27",659.44,
Total Income From Operations,"89,679.21","49,400.20","60,858.46","83,179.64","2,648.15",
EXPENDITURE,,,,,,
Consumption of Raw Materials,--,--,--,--,--,
Purchase of Traded Goods,--,--,--,--,--,
Increase/Decrease in Stocks,--,--,--,--,--,
Power & Fuel,--,--,--,--,--,
Employees Cost,"1,624.42","1,445.88","1,197.02",992.46,--,
Depreciation,--,--,--,--,--,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,"1,070.81","1,743.87",--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,-7.15,154.67,119.75,36.49,46.56,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,"88,354.37","45,133.68","57,722.28","82,475.38","1,533.38",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","-1,363.24",922.10,"1,819.41",-324.69,"1,068.21",
Other Income,"2,011.60",444.98,"1,298.40","1,668.46",0.54,
"P/L Before Int., Excpt. Items & Tax",648.36,"1,367.08","3,117.81","1,343.77","1,068.75",
Interest,--,--,--,--,--,
P/L Before Exceptional Items & Tax,648.36,"1,367.08","3,117.81","1,343.77","1,068.75",
Exceptional Items,--,--,--,--,--,
P/L Before Tax,648.36,"1,367.08","3,117.81","1,343.77","1,068.75",
Tax,178.66,270.46,202.57,263.11,--,
P/L After Tax from Ordinary Activities,469.70,"1,096.62","2,915.24","1,080.66","1,068.75",
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,382.69,-285.95,"-2,161.11",-120.51,--,
Net Profit/(Loss) For the Period,852.39,810.67,754.13,960.15,"1,068.75",
Equity Share Capital,"1,440.62","1,438.57","1,437.31","1,435.90","1,435.86",
Reserves Excluding Revaluation Reserves,"9,529.11","8,619.23","7,694.32","10,676.38","5,782.76",
Equity Dividend Rate (%),6.00,6.00,5.50,20.00,8.00,
EPS Before Extra Ordinary,,,,,,
Basic EPS,5.92,5.64,5.25,6.66,7.44,
Diluted EPS,5.90,5.63,5.23,6.66,7.43,
EPS After Extra Ordinary,,,,,,
Basic EPS.,5.92,5.64,5.25,6.66,7.44,
Diluted EPS.,5.90,5.63,5.23,6.66,7.43,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
