Yearly Results of PB Fintech (in Rs. Cr.),Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,
Net Sales/Income from operations,110.29,134.15,103.18,83.66,24.00,
Other Operating Income,--,--,--,39.76,37.11,
Total Income From Operations,110.29,134.15,103.18,123.42,61.11,
EXPENDITURE,,,,,,
Consumption of Raw Materials,--,--,--,--,--,
Purchase of Traded Goods,--,--,--,--,--,
Increase/Decrease in Stocks,--,--,--,--,--,
Power & Fuel,--,--,--,--,--,
Employees Cost,238.39,381.98,483.80,130.45,76.15,
Depreciation,3.05,3.74,3.90,3.80,9.20,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,62.82,3.03,3.78,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,13.00,13.40,25.05,14.06,13.13,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-206.97,-268.00,-413.34,-24.89,-37.37,
Other Income,252.11,194.74,114.25,56.02,86.88,
"P/L Before Int., Excpt. Items & Tax",45.14,-73.26,-299.10,31.13,49.51,
Interest,0.62,0.90,1.15,1.43,1.43,
P/L Before Exceptional Items & Tax,44.52,-74.16,-300.25,29.70,48.09,
Exceptional Items,-0.27,--,--,-2.37,-29.16,
P/L Before Tax,44.25,-74.16,-300.25,27.33,18.93,
Tax,8.06,0.00,-0.56,8.33,9.18,
P/L After Tax from Ordinary Activities,36.19,-74.16,-299.68,19.01,9.74,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,36.19,-74.16,-299.68,19.01,9.74,
Equity Share Capital,90.24,90.02,89.90,0.05,0.04,
Reserves Excluding Revaluation Reserves,"7,639.13","7,272.68","6,804.90","2,939.76","2,041.79",
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,0.81,-1.67,-7.32,260.14,139.04,
Diluted EPS,0.78,-1.67,-7.32,256.96,136.35,
EPS After Extra Ordinary,,,,,,
Basic EPS.,0.81,-1.67,-7.32,260.14,139.04,
Diluted EPS.,0.78,-1.67,-7.32,256.96,136.35,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
