Key Financial Ratios of Adani Enterprises (in Rs. Cr.),Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,
Per Share Ratios,,,,,,
Basic EPS (Rs.),4.43,1.79,2.02,4.51,3.70,
Diluted EPS (Rs.),4.43,1.79,2.02,4.51,3.70,
Cash EPS (Rs.),5.35,2.59,2.73,5.23,4.44,
Book Value [ExclRevalReserve]/Share (Rs.),29.54,35.54,34.25,32.37,93.45,
Book Value [InclRevalReserve]/Share (Rs.),29.54,35.54,34.25,32.37,93.45,
Dividend / Share(Rs.),0.40,0.40,0.40,0.40,1.40,
Revenue from Operations/Share (Rs.),141.31,86.84,70.73,74.09,135.78,
PBDIT/Share (Rs.),12.10,11.30,11.44,11.14,12.46,
PBIT/Share (Rs.),11.18,10.50,10.72,10.42,11.71,
PBT/Share (Rs.),5.70,2.80,3.61,4.36,3.93,
Net Profit/Share (Rs.),4.43,1.79,2.02,4.51,3.70,
Profitability Ratios,,,,,,
PBDIT Margin (%),8.55,13.01,16.17,15.04,9.17,
PBIT Margin (%),7.90,12.09,15.15,14.06,8.62,
PBT Margin (%),4.03,3.22,5.10,5.88,2.89,
Net Profit Margin (%),3.13,2.06,2.84,6.09,2.72,
Return on Networth / Equity (%),14.99,5.04,5.88,13.94,3.95,
Return on Capital Employed (%),28.59,20.52,20.61,8.65,3.11,
Return on Assets (%),3.36,1.27,1.51,3.44,1.79,
Total Debt/Equity (X),0.88,1.68,1.80,1.69,0.50,
Asset Turnover Ratio (%),107.25,61.97,53.07,56.60,65.95,
Liquidity Ratios,,,,,,
Current Ratio (X),1.00,1.00,1.00,1.21,1.38,
Quick Ratio (X),0.81,0.87,0.93,1.15,1.32,
Inventory Turnover Ratio (X),8.17,7.38,13.08,15.36,25.53,
Dividend Payout Ratio (NP) (%),9.02,22.32,0.00,8.86,37.84,
Dividend Payout Ratio (CP) (%),7.47,15.46,0.00,7.64,31.51,
Earnings Retention Ratio (%),90.98,77.68,0.00,91.14,62.16,
Cash Earnings Retention Ratio (%),92.53,84.54,0.00,92.36,68.49,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"18,699.52","23,250.04","18,304.35","13,984.98","72,613.79",
EV/Net Operating Revenue (X),1.20,2.43,2.35,1.72,4.86,
EV/EBITDA (X),14.06,18.71,14.55,11.41,53.00,
MarketCap/Net Operating Revenue (X),1.04,1.80,1.53,0.99,4.53,
Retention Ratios (%),90.97,77.67,0.00,91.13,62.15,
Price/BV (X),4.99,4.40,3.16,2.28,6.59,
Price/Net Operating Revenue,1.04,1.80,1.53,0.99,4.53,
Earnings Yield,0.03,0.01,0.02,0.06,0.01,
