Key Financial Ratios of Adani Ports and Special Economic Zone (in Rs. Cr.),Mar 09,Mar 08,Mar 07,Mar 06,Mar 05,
Per Share Ratios,,,,,,
Basic EPS (Rs.),11.51,5.33,5.20,3.73,4.42,
Diluted EPS (Rs.),11.51,5.33,5.20,3.73,4.42,
Cash EPS (Rs.),14.93,7.84,7.45,7.77,7.99,
Book Value [ExclRevalReserve]/Share (Rs.),73.44,65.13,20.63,33.06,37.81,
Book Value [InclRevalReserve]/Share (Rs.),73.44,65.13,20.63,33.06,37.81,
Dividend / Share(Rs.),3.00,1.50,1.00,2.00,0.00,
Revenue from Operations/Share (Rs.),28.39,20.43,16.12,21.37,19.44,
PBDIT/Share (Rs.),21.74,14.70,8.87,12.81,12.46,
PBIT/Share (Rs.),18.31,12.19,6.63,9.40,9.02,
PBT/Share (Rs.),13.37,8.86,4.78,6.37,6.50,
Net Profit/Share (Rs.),11.51,5.33,5.20,3.73,4.42,
Profitability Ratios,,,,,,
PBDIT Margin (%),76.57,71.95,55.00,59.92,64.10,
PBIT Margin (%),64.50,59.65,41.11,43.97,46.42,
PBT Margin (%),47.09,43.35,29.62,29.79,33.45,
Net Profit Margin (%),40.53,26.07,32.25,17.45,22.72,
Return on Networth / Equity (%),15.67,8.17,25.20,11.28,11.68,
Return on Capital Employed (%),9.13,4.66,9.39,4.36,5.53,
Return on Assets (%),7.09,3.72,6.15,2.89,3.45,
Total Debt/Equity (X),0.79,0.73,1.72,1.61,1.14,
Asset Turnover Ratio (%),17.51,14.29,19.06,16.59,15.19,
Liquidity Ratios,,,,,,
Current Ratio (X),1.09,1.21,0.53,0.35,0.22,
Quick Ratio (X),1.07,1.19,0.52,0.34,0.21,
Inventory Turnover Ratio (X),42.94,44.33,55.67,83.65,89.11,
Dividend Payout Ratio (NP) (%),26.07,28.16,19.22,53.60,0.00,
Dividend Payout Ratio (CP) (%),20.09,19.13,13.41,25.74,0.00,
Earnings Retention Ratio (%),73.93,71.84,80.78,46.40,100.00,
Cash Earnings Retention Ratio (%),79.91,80.87,86.59,74.26,100.00,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"14,135.04","24,239.34",0.00,0.00,0.00,
EV/Net Operating Revenue (X),12.43,29.61,0.00,0.00,0.00,
EV/EBITDA (X),16.23,41.16,0.00,0.00,0.00,
MarketCap/Net Operating Revenue (X),11.38,28.37,0.00,0.00,0.00,
Retention Ratios (%),73.92,71.83,80.77,46.39,100.00,
Price/BV (X),4.40,8.90,0.00,0.00,0.00,
Price/Net Operating Revenue,11.38,28.37,0.00,0.00,0.00,
Earnings Yield,0.04,0.01,0.00,0.00,0.00,
