Key Financial Ratios of Bharti Airtel (in Rs. Cr.),Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,
Per Share Ratios,,,,,,
Basic EPS (Rs.),-4.36,0.20,-24.84,19.46,33.02,
Diluted EPS (Rs.),-4.36,0.20,-24.84,19.46,33.02,
Cash EPS (Rs.),33.15,32.84,5.70,43.42,51.93,
Book Value [ExclRevalReserve]/Share (Rs.),245.92,257.32,253.18,279.50,195.80,
Book Value [InclRevalReserve]/Share (Rs.),245.92,257.32,253.18,279.50,195.81,
Dividend / Share(Rs.),2.50,5.34,1.00,1.36,3.85,
Revenue from Operations/Share (Rs.),124.10,134.24,155.79,150.85,138.83,
PBDIT/Share (Rs.),37.32,45.13,59.73,56.25,61.60,
PBIT/Share (Rs.),-0.50,12.49,29.20,32.29,42.69,
PBT/Share (Rs.),-13.12,-1.70,-21.29,25.65,39.16,
Net Profit/Share (Rs.),-4.68,0.20,-24.83,19.46,33.02,
Profitability Ratios,,,,,,
PBDIT Margin (%),30.07,33.61,38.34,37.28,44.37,
PBIT Margin (%),-0.40,9.30,18.74,21.40,30.74,
PBT Margin (%),-10.57,-1.26,-13.66,17.00,28.20,
Net Profit Margin (%),-3.76,0.14,-15.93,12.90,23.78,
Return on Networth / Equity (%),-1.90,0.07,-9.80,6.96,16.86,
Return on Capital Employed (%),-0.12,3.09,7.49,4.94,12.76,
Return on Assets (%),-0.83,0.03,-5.17,4.20,10.44,
Total Debt/Equity (X),0.85,0.61,0.56,0.38,0.26,
Asset Turnover Ratio (%),22.25,26.18,32.49,32.58,43.89,
Liquidity Ratios,,,,,,
Current Ratio (X),0.32,0.49,0.47,0.41,0.64,
Quick Ratio (X),0.32,0.49,0.47,0.41,0.64,
Inventory Turnover Ratio (X),"49,606.00","8,517.94","15,968.28","11,377.42","5,903.87",
Dividend Payout Ratio (NP) (%),-106.93,"1,261.74",-4.02,11.40,11.65,
Dividend Payout Ratio (CP) (%),15.08,7.61,17.54,5.11,7.41,
Earnings Retention Ratio (%),206.93,"-1,161.74",104.02,88.60,88.35,
Cash Earnings Retention Ratio (%),84.92,92.39,82.46,94.89,92.59,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"216,590.65","221,447.29","196,605.51","182,379.07","177,321.49",
EV/Net Operating Revenue (X),4.37,4.13,3.16,3.02,3.20,
EV/EBITDA (X),14.52,12.28,8.23,8.11,7.20,
MarketCap/Net Operating Revenue (X),2.68,2.97,2.25,2.33,2.84,
Retention Ratios (%),206.93,"-1,161.74",104.02,88.59,88.34,
Price/BV (X),1.35,1.55,1.38,1.26,2.01,
Price/Net Operating Revenue,2.68,2.97,2.25,2.33,2.84,
Earnings Yield,-0.01,0.00,-0.07,0.06,0.08,
