Key Financial Ratios of Apollo Hospitals Enterprises (in Rs. Cr.),Mar 14,Mar 13,Mar 12,Mar 11,Mar 10,
Per Share Ratios,,,,,,
Basic EPS (Rs.),23.77,22.43,17.72,14.66,24.60,
Diluted EPS (Rs.),23.77,22.22,17.16,14.24,24.60,
Cash EPS (Rs.),33.05,30.02,23.96,20.23,33.44,
Book Value [ExclRevalReserve]/Share (Rs.),213.10,196.05,174.93,142.10,249.54,
Book Value [InclRevalReserve]/Share (Rs.),213.10,196.05,174.93,142.10,249.54,
Dividend / Share(Rs.),5.75,5.50,4.00,3.75,7.00,
Revenue from Operations/Share (Rs.),277.56,238.47,208.24,186.99,295.51,
PBDIT/Share (Rs.),45.74,42.02,36.61,31.68,50.17,
PBIT/Share (Rs.),36.46,34.22,29.83,26.02,41.38,
PBT/Share (Rs.),30.20,29.00,25.10,21.60,35.96,
Net Profit/Share (Rs.),23.77,22.22,17.18,14.57,24.60,
Profitability Ratios,,,,,,
PBDIT Margin (%),16.47,17.61,17.57,16.94,16.97,
PBIT Margin (%),13.13,14.34,14.32,13.91,14.00,
PBT Margin (%),10.88,12.15,12.05,11.54,12.16,
Net Profit Margin (%),8.56,9.31,8.24,7.79,8.32,
Return on Networth / Equity (%),11.15,11.33,9.81,10.25,9.85,
Return on Capital Employed (%),7.68,8.02,7.18,6.86,6.88,
Return on Assets (%),6.80,7.09,6.14,5.75,5.37,
Total Debt/Equity (X),0.34,0.33,0.24,0.38,0.45,
Asset Turnover Ratio (%),79.51,76.19,74.50,73.90,64.52,
Liquidity Ratios,,,,,,
Current Ratio (X),2.45,2.90,1.77,1.56,1.80,
Quick Ratio (X),1.97,2.49,1.44,1.26,1.59,
Inventory Turnover Ratio (X),14.57,16.15,15.33,15.49,13.59,
Dividend Payout Ratio (NP) (%),24.18,24.75,23.28,25.73,28.46,
Dividend Payout Ratio (CP) (%),17.39,18.32,16.69,18.53,20.93,
Earnings Retention Ratio (%),75.82,75.25,76.72,74.27,71.54,
Cash Earnings Retention Ratio (%),82.61,81.68,83.31,81.47,79.07,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"13,554.82","12,239.78","8,962.03","6,410.84","4,914.10",
EV/Net Operating Revenue (X),3.51,3.69,3.20,2.75,2.69,
EV/EBITDA (X),21.30,20.94,18.21,16.23,15.85,
MarketCap/Net Operating Revenue (X),3.30,3.50,3.07,2.52,2.47,
Retention Ratios (%),75.81,75.24,76.71,74.26,71.53,
Price/BV (X),4.30,4.25,3.65,3.32,2.92,
Price/Net Operating Revenue,3.30,3.50,3.07,2.52,2.47,
Earnings Yield,0.03,0.03,0.03,0.03,0.03,
