Key Financial Ratios of Asian Paints (in Rs. Cr.),Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,
Per Share Ratios,,,,,,
Basic EPS (Rs.),55.50,42.76,32.68,31.82,27.67,
Diluted EPS (Rs.),55.49,42.76,32.68,31.82,27.67,
Cash EPS (Rs.),63.14,50.63,40.20,39.09,34.86,
Book Value [ExclRevalReserve]/Share (Rs.),192.09,162.48,139.17,126.05,98.55,
Book Value [InclRevalReserve]/Share (Rs.),192.09,162.48,139.17,126.05,98.55,
Dividend / Share(Rs.),33.30,25.65,19.15,17.85,12.00,
Revenue from Operations/Share (Rs.),321.62,313.58,262.60,193.04,179.25,
PBDIT/Share (Rs.),81.89,66.08,52.54,50.65,43.94,
PBIT/Share (Rs.),74.23,58.20,45.02,43.38,36.75,
PBT/Share (Rs.),73.03,57.23,43.73,42.64,35.58,
Net Profit/Share (Rs.),55.48,42.75,32.68,31.82,27.67,
Profitability Ratios,,,,,,
PBDIT Margin (%),25.46,21.07,20.00,26.23,24.51,
PBIT Margin (%),23.08,18.56,17.14,22.47,20.49,
PBT Margin (%),22.70,18.25,16.65,22.08,19.85,
Net Profit Margin (%),17.24,13.63,12.44,16.48,15.43,
Return on Networth / Equity (%),28.88,26.30,23.48,25.24,28.07,
Return on Capital Employed (%),36.03,33.43,30.27,31.99,33.91,
Return on Assets (%),20.48,18.19,15.74,17.35,19.53,
Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.00,
Asset Turnover Ratio (%),1.27,1.42,1.34,1.19,126.54,
Liquidity Ratios,,,,,,
Current Ratio (X),2.34,2.38,2.26,2.18,1.82,
Quick Ratio (X),1.52,1.47,1.32,1.49,0.94,
Inventory Turnover Ratio (X),2.58,2.79,3.29,2.86,6.08,
Dividend Payout Ratio (NP) (%),47.58,46.55,55.53,15.24,65.59,
Dividend Payout Ratio (CP) (%),41.81,39.30,45.14,12.40,52.06,
Earnings Retention Ratio (%),52.42,53.45,44.47,84.76,34.41,
Cash Earnings Retention Ratio (%),58.19,60.70,54.86,87.60,47.94,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"272,691.96","264,583.95","295,309.05","243,204.46","159,512.30",
EV/Net Operating Revenue (X),8.84,8.80,11.72,13.13,9.28,
EV/EBITDA (X),34.72,41.74,58.60,50.05,37.85,
MarketCap/Net Operating Revenue (X),8.85,8.81,11.74,13.14,9.30,
Retention Ratios (%),52.41,53.44,44.46,84.75,34.40,
Price/BV (X),14.82,17.00,22.14,20.12,16.91,
Price/Net Operating Revenue,8.85,8.81,11.74,13.14,9.30,
Earnings Yield,0.02,0.02,0.01,0.01,0.02,
