Key Financial Ratios of Asian Paints (in Rs. Cr.),Mar 04,
Per Share Ratios,,
Basic EPS (Rs.),15.41,
Diluted EPS (Rs.),15.41,
Cash EPS (Rs.),20.41,
Book Value [ExclRevalReserve]/Share (Rs.),55.42,
Book Value [InclRevalReserve]/Share (Rs.),55.42,
Dividend / Share(Rs.),8.50,
Revenue from Operations/Share (Rs.),187.72,
PBDIT/Share (Rs.),29.15,
PBIT/Share (Rs.),24.15,
PBT/Share (Rs.),23.60,
Net Profit/Share (Rs.),15.41,
Profitability Ratios,,
PBDIT Margin (%),15.53,
PBIT Margin (%),12.86,
PBT Margin (%),12.57,
Net Profit Margin (%),8.20,
Return on Networth / Equity (%),27.80,
Return on Capital Employed (%),23.37,
Return on Assets (%),13.97,
Total Debt/Equity (X),0.10,
Asset Turnover Ratio (%),170.26,
Liquidity Ratios,,
Current Ratio (X),1.07,
Quick Ratio (X),0.57,
Inventory Turnover Ratio (X),8.51,
Dividend Payout Ratio (NP) (%),55.16,
Dividend Payout Ratio (CP) (%),41.64,
Earnings Retention Ratio (%),44.84,
Cash Earnings Retention Ratio (%),58.36,
Valuation Ratios,,
Enterprise Value (Cr.),"2,940.96",
EV/Net Operating Revenue (X),1.63,
EV/EBITDA (X),10.52,
MarketCap/Net Operating Revenue (X),1.62,
Retention Ratios (%),44.83,
Price/BV (X),5.48,
Price/Net Operating Revenue,1.62,
Earnings Yield,0.05,
