Balance Sheet of Axis Bank (in Rs. Cr.),Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,
,12 mths,12 mths,12 mths,12 mths,12 mths,
EQUITIES AND LIABILITIES,,,,,,
SHAREHOLDER'S FUNDS,,,,,,
Equity Share Capital,617.31,615.37,613.95,612.75,564.34,
Total Share Capital,617.31,615.37,613.95,612.75,564.34,
Revaluation Reserve,0.00,0.00,0.00,0.00,0.00,
Reserves and Surplus,"149,617.68","124,377.87","114,411.51","100,990.26","84,383.51",
Total Reserves and Surplus,"149,617.68","124,377.87","114,411.51","100,990.26","84,383.51",
Total ShareHolders Funds,"151,061.58","125,416.66","115,174.06","101,603.01","84,947.84",
Deposits,"1,068,641.39","946,945.21","821,720.91","707,306.08","640,104.94",
Borrowings,"196,811.75","186,300.04","185,133.86","142,873.16","147,954.13",
Other Liabilities and Provisions,"60,693.88","58,663.63","53,149.28","44,336.17","42,157.90",
Total Capital and Liabilities,"1,477,208.60","1,317,325.53","1,175,178.11","996,118.42","915,164.82",
ASSETS,,,,,,
Cash and Balances with Reserve Bank of India,"86,077.48","66,117.76","94,034.51","51,808.56","84,959.24",
Balances with Banks Money at Call and Short Notice,"28,376.90","40,293.05","16,952.62","9,921.26","12,309.04",
Investments,"331,527.25","288,814.83","275,597.20","226,119.62","156,734.32",
Advances,"965,068.38","845,302.84","707,695.95","623,720.19","571,424.16",
Fixed Assets,"5,684.58","4,733.85","4,572.35","4,245.03","4,312.90",
Other Assets,"60,474.00","72,063.20","76,325.48","80,303.76","85,425.16",
Total Assets,"1,477,208.60","1,317,325.53","1,175,178.11","996,118.42","915,164.82",
OTHER ADDITIONAL INFORMATION,,,,,,
Number of Branches,"5,705.00","4,910.00","4,758.00","4,594.00","4,528.00",
Number of Employees,"104,332.00","91,898.00","85,815.00","78,307.00","74,140.00",
Capital Adequacy Ratios (%),16.63,17.64,18.54,19.12,17.53,
KEY PERFORMANCE INDICATORS,,,,,,
Tier 1 (%),14.20,14.57,16.34,16.47,14.49,
Tier 2 (%),2.43,3.07,2.20,2.65,3.04,
ASSETS QUALITY,,,,,,
Gross NPA,"33,034.79","36,467.35","21,822.32","25,314.84","30,233.82",
Gross NPA (%),1.43,2.02,2.82,4.00,5.00,
Net NPA,"14,345.04","3,558.92","5,512.16","6,993.52","9,360.41",
Net NPA (%),0.31,0.39,0.73,1.05,1.56,
Net NPA To Advances (%),0.31,0.39,0.73,1.00,2.00,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,
Bills for Collection,"73,625.10","68,176.55","66,947.44","50,375.27","47,842.76",
Contingent Liabilities,"1,908,892.46","1,441,248.94","1,292,104.57","80,303.76","922,968.76",
