Key Financial Ratios of Axis Bank (in Rs. Cr.),Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,
Per Share Ratios,,,,,,
Basic EPS (Rs.),80.67,31.17,42.48,22.15,5.99,
Diluted EPS (Rs.),80.10,31.02,42.35,22.09,5.97,
Cash EPS (Rs.),84.87,73.69,45.72,24.60,8.51,
Book Value [Excl. Reval Reserve]/Share (Rs.),489.42,407.61,375.19,331.63,301.05,
Book Value [Incl. Reval Reserve]/Share (Rs.),489.42,407.61,375.19,331.63,301.05,
Dividend/Share (Rs.),1.00,1.00,1.00,0.00,0.00,
Operating Revenue / Share (Rs.),354.34,276.79,219.49,207.74,221.98,
Net Profit/Share (Rs.),80.55,31.13,42.43,21.50,5.77,
Per Employee Ratios,,,,,,
Interest Income/ Employee (Rs.),"10,482,750.52","9,267,205.55","7,851,404.72","8,127,663.04","8,448,227.33",
Net Profit/ Employee (Rs.),"2,382,915.42","1,042,425.13","1,517,855.67","841,368.03","219,478.74",
Business/ Employee (Rs.),"194,926,750.79","195,025,795.06","178,222,555.05","169,975,387.64","163,410,991.87",
Per Branch Ratios,,,,,,
Interest Income/ Branch (Rs.),"191,706,630.50","173,449,624.44","141,607,460.28","138,540,032.65","138,328,527.83",
Net Profit/ Branches (Rs.),"43,578,322.87","19,510,546.84","27,375,952.92","14,341,533.74","3,593,673.59",
Business/ Branches (Rs.),"3,564,784,883.96","3,650,199,697.35","3,214,411,215.22","2,897,314,471.05","2,675,638,457.82",
Key Performance Ratios,,,,,,
ROCE (%),2.62,1.57,2.20,2.70,2.68,
CASA (%),42.98,47.15,44.99,44.92,41.19,
Net Profit Margin (%),22.73,11.24,19.33,10.35,2.59,
Operating Profit Margin (%),2.21,-8.12,-3.25,-12.96,-22.20,
Return on Assets (%),1.68,0.72,1.10,0.66,0.17,
Return on Equity / Networth (%),16.45,7.63,11.30,6.48,1.91,
Net Interest Margin (X),3.37,3.26,2.81,2.93,2.75,
Cost to Income (%),48.67,66.70,48.83,47.76,50.03,
Interest Income/Total Assets (%),7.40,6.46,5.73,6.38,6.84,
Non-Interest Income/Total Assets (%),1.51,1.25,1.29,1.48,1.69,
Operating Profit/Total Assets (%),0.16,-0.52,-0.18,-0.82,-1.51,
Operating Expenses/Total Assets (%),2.38,3.01,2.00,1.84,1.89,
Interest Expenses/Total Assets (%),4.02,3.20,2.91,3.45,4.08,
Valuation Ratios,,,,,,
Enterprise Value (Rs. Cr),"1,502,940.84","1,331,259.85","1,146,320.64","1,012,067.14","810,126.08",
EV Per Net Sales (X),13.74,15.63,17.01,15.90,12.93,
Price To Book Value (X),2.14,2.11,2.03,2.10,1.26,
Price To Sales (X),2.96,3.10,3.47,3.36,1.71,
Retention Ratios (%),98.76,96.79,100.00,100.00,100.00,
Earnings Yield (X),0.08,0.04,0.06,0.03,0.02,
