Key Financial Ratios of Bajaj Auto (in Rs. Cr.),Mar 09,Mar 08,Mar 07,Mar 06,
Per Share Ratios,,,,,
Basic EPS (Rs.),45.24,52.24,122.27,111.02,
Diluted EPS (Rs.),45.24,52.24,122.27,111.02,
Cash EPS (Rs.),54.21,64.34,141.11,130.25,
Book Value [ExclRevalReserve]/Share (Rs.),129.23,109.73,546.98,471.51,
Book Value [InclRevalReserve]/Share (Rs.),129.23,109.73,546.98,471.51,
Dividend / Share(Rs.),22.00,20.00,40.00,40.00,
Revenue from Operations/Share (Rs.),601.34,610.12,931.04,748.38,
PBDIT/Share (Rs.),76.72,86.70,187.41,171.45,
PBIT/Share (Rs.),67.75,74.68,168.60,152.57,
PBT/Share (Rs.),66.30,74.32,168.08,152.54,
Net Profit/Share (Rs.),45.24,52.24,122.27,111.02,
Profitability Ratios,,,,,
PBDIT Margin (%),12.75,14.21,20.12,22.90,
PBIT Margin (%),11.26,12.23,18.10,20.38,
PBT Margin (%),11.02,12.18,18.05,20.38,
Net Profit Margin (%),7.52,8.56,13.13,14.83,
Return on Networth / Equity (%),35.00,47.60,22.35,23.54,
Return on Capital Employed (%),19.50,24.66,16.89,17.47,
Return on Assets (%),10.83,15.29,10.59,11.26,
Total Debt/Equity (X),0.84,0.84,0.29,0.31,
Asset Turnover Ratio (%),143.99,178.64,80.67,75.92,
Liquidity Ratios,,,,,
Current Ratio (X),0.83,0.88,0.86,0.80,
Quick Ratio (X),0.71,0.69,0.79,0.72,
Inventory Turnover Ratio (X),25.68,25.25,30.42,27.74,
Dividend Payout Ratio (NP) (%),48.63,38.28,32.71,36.03,
Dividend Payout Ratio (CP) (%),40.58,31.08,28.34,30.71,
Earnings Retention Ratio (%),51.37,61.72,67.29,63.97,
Cash Earnings Retention Ratio (%),59.42,68.92,71.66,69.29,
Valuation Ratios,,,,,
Enterprise Value (Cr.),"10,380.86",0.00,0.00,0.00,
EV/Net Operating Revenue (X),1.19,0.00,0.00,0.00,
EV/EBITDA (X),9.35,0.00,0.00,0.00,
MarketCap/Net Operating Revenue (X),1.03,0.00,0.00,0.00,
Retention Ratios (%),51.36,61.71,67.28,63.96,
Price/BV (X),4.79,0.00,0.00,0.00,
Price/Net Operating Revenue,1.03,0.00,0.00,0.00,
Earnings Yield,0.07,0.00,0.00,0.00,
