Key Financial Ratios of Bajaj Finance (in Rs. Cr.),Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,
Per Share Ratios,,,,,,
Basic EPS (Rs.),67.52,47.05,34.01,242.30,179.94,
Diluted EPS (Rs.),66.95,46.57,33.67,238.83,177.70,
Cash EPS (Rs.),69.82,47.79,34.89,249.27,186.69,
Book Value [ExclRevalReserve]/Share (Rs.),339.15,287.20,175.56,"1,386.86",959.94,
Book Value [InclRevalReserve]/Share (Rs.),339.15,287.20,175.56,"1,386.86",959.94,
Dividend / Share(Rs.),6.00,4.00,3.60,25.00,18.00,
Revenue from Operations/Share (Rs.),301.40,231.03,182.19,"1,364.02","1,076.36",
PBDIT/Share (Rs.),209.96,152.01,122.37,923.95,728.17,
PBIT/Share (Rs.),207.58,150.24,121.07,913.43,721.05,
PBT/Share (Rs.),104.63,70.53,51.52,366.87,271.39,
Net Profit/Share (Rs.),67.44,46.02,33.58,238.75,179.57,
Profitability Ratios,,,,,,
PBDIT Margin (%),69.66,65.79,67.16,67.73,67.65,
PBIT Margin (%),68.87,65.03,66.45,66.96,66.98,
PBT Margin (%),34.71,30.52,28.27,26.89,25.21,
Net Profit Margin (%),22.37,19.91,18.43,17.50,16.68,
Return on Networth / Equity (%),19.88,16.02,19.13,17.21,18.70,
Return on Capital Employed (%),11.26,14.09,14.95,14.64,3.84,
Return on Assets (%),3.58,3.16,2.88,2.75,2.73,
Total Debt/Equity (X),4.41,3.73,4.38,4.99,4.71,
Asset Turnover Ratio (%),0.18,0.18,0.18,0.18,16.40,
Liquidity Ratios,,,,,,
Current Ratio (X),49.12,1.64,1.53,1.57,1.48,
Quick Ratio (X),49.12,1.64,1.53,1.57,1.48,
Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,
Dividend Payout Ratio (NP) (%),5.94,7.47,0.00,10.99,10.05,
Dividend Payout Ratio (CP) (%),5.73,7.20,0.00,10.53,9.67,
Earnings Retention Ratio (%),94.06,92.53,0.00,89.01,89.95,
Cash Earnings Retention Ratio (%),94.27,92.80,0.00,89.47,90.33,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"260,598.50","163,125.47","105,918.24","72,801.42","42,849.11",
EV/Net Operating Revenue (X),14.99,12.28,10.63,9.97,7.96,
EV/EBITDA (X),21.52,18.66,15.83,14.71,11.77,
MarketCap/Net Operating Revenue (X),10.04,7.66,6.44,5.08,3.81,
Retention Ratios (%),94.05,92.52,0.00,89.00,89.94,
Price/BV (X),8.92,6.16,6.69,5.00,4.27,
Price/Net Operating Revenue,10.04,7.66,6.44,5.08,3.81,
Earnings Yield,0.02,0.03,0.03,0.03,0.04,
