Key Financial Ratios of Bajaj Finserv (in Rs. Cr.),Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,
Per Share Ratios,,,,,,
Basic EPS (Rs.),19.30,8.90,4.40,10.30,7.90,
Diluted EPS (Rs.),19.30,8.90,4.40,10.30,7.90,
Cash EPS (Rs.),19.40,8.98,4.49,10.34,8.07,
Book Value [ExclRevalReserve]/Share (Rs.),198.62,180.96,173.81,169.41,160.90,
Book Value [InclRevalReserve]/Share (Rs.),198.62,180.96,173.81,169.41,160.90,
Dividend / Share(Rs.),2.50,1.75,1.75,1.75,1.75,
Revenue from Operations/Share (Rs.),26.58,15.20,9.67,15.23,12.58,
PBDIT/Share (Rs.),20.58,10.59,6.63,12.33,10.10,
PBIT/Share (Rs.),20.48,10.51,6.54,12.24,9.94,
PBT/Share (Rs.),20.48,10.51,6.54,12.24,9.94,
Net Profit/Share (Rs.),19.30,8.90,4.40,10.25,7.91,
Profitability Ratios,,,,,,
PBDIT Margin (%),77.42,69.68,68.52,80.96,80.22,
PBIT Margin (%),77.05,69.12,67.57,80.39,78.95,
PBT Margin (%),77.05,69.12,67.57,80.39,78.95,
Net Profit Margin (%),72.60,58.54,45.49,67.32,62.88,
Return on Networth / Equity (%),9.71,4.91,2.53,6.05,4.91,
Return on Capital Employed (%),10.21,5.74,3.73,6.00,4.88,
Return on Assets (%),9.54,4.83,2.48,5.93,4.77,
Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.00,
Asset Turnover Ratio (%),13.14,8.26,5.46,8.82,7.58,
Liquidity Ratios,,,,,,
Current Ratio (X),30.82,46.20,7.57,16.73,11.74,
Quick Ratio (X),30.82,46.20,7.57,16.73,11.74,
Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,
Dividend Payout Ratio (NP) (%),9.06,19.66,0.00,17.07,22.11,
Dividend Payout Ratio (CP) (%),9.02,19.47,0.00,16.92,21.67,
Earnings Retention Ratio (%),90.94,80.34,0.00,82.93,77.89,
Cash Earnings Retention Ratio (%),90.98,80.53,0.00,83.08,78.33,
Valuation Ratios,,,,,,
Enterprise Value (Cr.),"111,901.88","82,399.04","65,051.70","26,888.23","22,105.56",
EV/Net Operating Revenue (X),264.51,340.63,422.69,110.96,110.40,
EV/EBITDA (X),341.64,488.81,616.84,137.05,137.61,
MarketCap/Net Operating Revenue (X),264.65,340.68,422.70,111.89,110.41,
Retention Ratios (%),90.93,80.33,0.00,82.92,77.88,
Price/BV (X),35.42,28.62,23.52,10.06,8.64,
Price/Net Operating Revenue,264.65,340.69,422.71,111.89,110.41,
Earnings Yield,0.00,0.00,0.00,0.01,0.01,
