Key Financial Ratios of Bajaj Finserv (in Rs. Cr.),Mar 09,Mar 08,
Per Share Ratios,,,
Basic EPS (Rs.),2.86,3.04,
Diluted EPS (Rs.),2.86,3.04,
Cash EPS (Rs.),4.92,5.14,
Book Value [ExclRevalReserve]/Share (Rs.),83.33,81.64,
Book Value [InclRevalReserve]/Share (Rs.),83.33,81.64,
Dividend / Share(Rs.),1.00,1.00,
Revenue from Operations/Share (Rs.),7.74,7.19,
PBDIT/Share (Rs.),6.43,6.49,
PBIT/Share (Rs.),4.38,4.44,
PBT/Share (Rs.),4.38,4.44,
Net Profit/Share (Rs.),2.86,3.04,
Profitability Ratios,,,
PBDIT Margin (%),83.08,90.30,
PBIT Margin (%),56.51,61.73,
PBT Margin (%),56.50,61.73,
Net Profit Margin (%),36.91,42.27,
Return on Networth / Equity (%),3.43,3.72,
Return on Capital Employed (%),2.69,2.89,
Return on Assets (%),2.56,2.80,
Total Debt/Equity (X),0.26,0.26,
Asset Turnover Ratio (%),6.94,6.63,
Liquidity Ratios,,,
Current Ratio (X),1.10,1.86,
Quick Ratio (X),1.10,1.86,
Inventory Turnover Ratio (X),0.00,0.00,
Dividend Payout Ratio (NP) (%),34.98,32.92,
Dividend Payout Ratio (CP) (%),20.34,19.46,
Earnings Retention Ratio (%),65.02,67.08,
Cash Earnings Retention Ratio (%),79.66,80.54,
Valuation Ratios,,,
Enterprise Value (Cr.),"2,739.42",0.00,
EV/Net Operating Revenue (X),24.45,0.00,
EV/EBITDA (X),29.43,0.00,
MarketCap/Net Operating Revenue (X),21.69,0.00,
Retention Ratios (%),65.01,67.07,
Price/BV (X),2.02,0.00,
Price/Net Operating Revenue,21.69,0.00,
Earnings Yield,0.02,0.00,
