Key Financial Ratios of Bharat Electronics (in Rs. Cr.),Mar 04,
Per Share Ratios,,
Basic EPS (Rs.),39.51,
Diluted EPS (Rs.),39.51,
Cash EPS (Rs.),47.30,
Book Value [ExclRevalReserve]/Share (Rs.),156.08,
Book Value [InclRevalReserve]/Share (Rs.),156.08,
Dividend / Share(Rs.),10.00,
Revenue from Operations/Share (Rs.),342.87,
PBDIT/Share (Rs.),67.75,
PBIT/Share (Rs.),59.97,
PBT/Share (Rs.),59.34,
Net Profit/Share (Rs.),39.51,
Profitability Ratios,,
PBDIT Margin (%),19.76,
PBIT Margin (%),17.49,
PBT Margin (%),17.30,
Net Profit Margin (%),11.52,
Return on Networth / Equity (%),25.31,
Return on Capital Employed (%),24.19,
Return on Assets (%),7.66,
Total Debt/Equity (X),0.03,
Asset Turnover Ratio (%),66.48,
Liquidity Ratios,,
Current Ratio (X),1.30,
Quick Ratio (X),0.94,
Inventory Turnover Ratio (X),2.70,
Dividend Payout Ratio (NP) (%),25.30,
Dividend Payout Ratio (CP) (%),21.14,
Earnings Retention Ratio (%),74.70,
Cash Earnings Retention Ratio (%),78.86,
Valuation Ratios,,
Enterprise Value (Cr.),"2,580.43",
EV/Net Operating Revenue (X),0.94,
EV/EBITDA (X),4.76,
MarketCap/Net Operating Revenue (X),1.45,
Retention Ratios (%),74.69,
Price/BV (X),3.19,
Price/Net Operating Revenue,1.45,
Earnings Yield,0.08,
