Date,Price,Open
2024-07-01,"3,169.40","3,179.95"
2024-04-01,"3,054.70","3,230.20"
2024-01-01,"3,138.00","2,855.00"
2023-10-01,"2,294.65","2,418.00"
2023-07-01,"2,492.20","2,405.00"
2023-04-01,"1,924.95","1,750.45"
2023-01-01,"2,973.90","3,870.00"
2022-10-01,"3,347.45","3,440.00"
2022-07-01,"2,569.20","2,189.90"
2022-04-01,"2,332.00","2,018.00"
2022-01-01,"1,714.95","1,713.00"
2021-10-01,"1,423.60","1,465.00"
2021-07-01,"1,420.25","1,509.55"
2021-04-01,"1,158.70","1,043.40"
2021-01-01,506.65,477.00
2020-10-01,339.70,299.80
2020-07-01,175.25,157.15
2020-04-01,141.40,138.95
2020-01-01,229.45,209.00
2019-10-01,199.65,146.10
2019-07-01,128.80,150.65
2019-04-01,127.05,147.45
2019-01-01,137.15,160.90
2018-10-01,170.00,127.00
2018-07-01,138.98,80.21
2018-04-01,99.62,99.47
2018-01-01,134.82,104.85
2017-10-01,83.66,73.70
2017-07-01,87.21,83.73
2017-04-01,68.90,68.83
2017-01-01,55.11,49.20
2016-10-01,42.37,41.74
2016-07-01,51.00,55.05
2016-04-01,54.83,46.51
2016-01-01,46.07,52.87
2015-10-01,58.43,51.67
2015-07-01,55.11,57.74
2015-04-01,73.46,66.33
2015-01-01,68.35,52.89
2014-10-01,52.76,51.10
2014-07-01,47.26,49.86
2014-04-01,45.53,40.31
2014-01-01,26.02,28.74
2013-10-01,22.62,15.36
2013-07-01,19.07,22.65
2013-04-01,23.76,22.22
2013-01-01,27.24,29.78
2012-10-01,23.46,21.90
2012-07-01,19.71,24.41
2012-04-01,30.61,33.24
2012-01-01,45.31,31.92
2011-10-01,52.07,56.82
2011-07-01,63.79,79.65
2011-04-01,68.09,72.56
2011-01-01,61.47,71.36
2010-10-01,76.75,71.07
2010-07-01,63.61,58.38
2010-04-01,61.29,51.43
