Date,Price,Open
2024-07-01,"1,569.90","1,483.00"
2024-04-01,"1,324.90","1,356.80"
2024-01-01,"1,206.00","1,027.35"
2023-10-01,784.75,826.00
2023-07-01,777.85,744.50
2023-04-01,681.30,638.55
2023-01-01,612.65,823.00
2022-10-01,823.55,821.00
2022-07-01,763.70,670.00
2022-04-01,856.40,774.50
2022-01-01,716.30,732.00
2021-10-01,693.00,735.85
2021-07-01,674.50,706.00
2021-04-01,730.05,713.50
2021-01-01,509.70,485.00
2020-10-01,359.85,345.50
2020-07-01,315.20,345.90
2020-04-01,290.10,246.05
2020-01-01,369.40,368.00
2019-10-01,395.80,415.20
2019-07-01,377.55,412.00
2019-04-01,392.80,380.95
2019-01-01,338.65,386.30
2018-10-01,318.85,328.00
2018-07-01,399.75,371.00
2018-04-01,407.30,356.00
2018-01-01,428.85,406.70
2017-10-01,430.35,377.55
2017-07-01,395.90,364.90
2017-04-01,327.70,340.60
2017-01-01,293.35,269.80
2016-10-01,305.30,260.70
2016-07-01,232.40,205.10
2016-04-01,238.20,248.00
2016-01-01,212.25,261.00
2015-10-01,296.25,302.95
2015-07-01,325.00,308.80
2015-04-01,317.55,308.45
2015-01-01,341.05,319.00
2014-10-01,285.65,277.05
2014-07-01,260.55,245.45
2014-04-01,188.20,188.70
2014-01-01,146.95,154.55
2013-10-01,145.50,138.20
2013-07-01,125.25,150.90
2013-04-01,145.00,140.80
2013-01-01,150.55,136.25
2012-10-01,127.25,128.10
2012-07-01,120.45,121.45
2012-04-01,127.80,129.40
2012-01-01,146.25,122.80
2011-10-01,163.95,163.60
2011-07-01,143.55,163.00
2011-04-01,144.45,138.00
2011-01-01,140.55,145.55
2010-10-01,151.90,167.70
2010-07-01,144.83,147.60
2010-04-01,147.80,156.92
