Date,Price,Open
2024-07-01,"6,615.30","6,180.00"
2024-04-01,"5,947.10","6,401.00"
2024-01-01,"6,322.30","5,740.95"
2023-10-01,"4,819.90","5,138.95"
2023-07-01,"5,173.45","5,127.50"
2023-04-01,"4,513.70","4,343.50"
2023-01-01,"4,255.90","4,488.00"
2022-10-01,"4,517.50","4,385.00"
2022-07-01,"4,212.30","3,680.00"
2022-04-01,"4,454.35","4,558.00"
2022-01-01,"4,457.35","5,038.45"
2021-10-01,"4,262.05","4,481.60"
2021-07-01,"4,035.00","3,619.85"
2021-04-01,"3,197.50","2,886.35"
2021-01-01,"2,561.25","2,405.50"
2020-10-01,"2,119.45","2,151.00"
2020-07-01,"1,674.60","1,350.00"
2020-04-01,"1,394.35","1,136.00"
2020-01-01,"1,660.20","1,440.00"
2019-10-01,"1,484.80","1,398.00"
2019-07-01,"1,351.60","1,363.00"
2019-04-01,"1,216.50","1,231.00"
2019-01-01,"1,325.65","1,253.00"
2018-10-01,"1,141.05","1,032.40"
2018-07-01,951.90,"1,063.00"
2018-04-01,"1,091.00","1,066.00"
2018-01-01,"1,162.80","1,216.00"
2017-10-01,"1,038.55","1,011.50"
2017-07-01,"1,259.00","1,266.00"
2017-04-01,"1,233.25","1,170.00"
2017-01-01,"1,230.05","1,180.00"
2016-10-01,"1,341.15","1,333.10"
2016-07-01,"1,361.90","1,316.00"
2016-04-01,"1,312.15","1,337.00"
2016-01-01,"1,473.00","1,458.50"
2015-10-01,"1,312.75","1,443.15"
2015-07-01,"1,359.85","1,314.80"
2015-04-01,"1,137.15","1,351.00"
2015-01-01,"1,313.55","1,131.00"
2014-10-01,"1,115.45","1,130.00"
2014-07-01,"1,013.20",995.05
2014-04-01,894.35,918.00
2014-01-01,930.20,940.25
2013-10-01,908.85,930.00
2013-07-01,938.15,"1,054.00"
2013-04-01,834.20,837.00
2013-01-01,808.50,788.90
2012-10-01,779.95,730.00
2012-07-01,630.15,621.65
2012-04-01,630.35,644.65
2012-01-01,600.15,558.50
2011-10-01,519.80,517.95
2011-07-01,527.00,480.80
2011-04-01,474.70,473.25
2011-01-01,491.70,459.00
2010-10-01,521.90,454.65
2010-07-01,392.02,372.55
2010-04-01,392.20,365.75
