Date,Price,Open
2024-07-01,"1,156.65",989.75
2024-04-01,"1,007.90","1,000.00"
2024-01-01,884.80,783.95
2023-10-01,628.65,632.60
2023-07-01,644.30,600.00
2023-04-01,484.95,423.00
2023-01-01,452.10,392.50
2022-10-01,412.75,405.50
2022-07-01,449.60,410.65
2022-04-01,437.60,434.00
2022-01-01,517.75,493.50
2021-10-01,483.70,332.65
2021-07-01,293.95,341.50
2021-04-01,293.85,306.75
2021-01-01,262.70,184.95
2020-10-01,132.65,135.90
2020-07-01,104.65,99.00
2020-04-01,93.25,70.50
2020-01-01,176.60,185.15
2019-10-01,177.70,118.00
2019-07-01,135.60,163.70
2019-04-01,214.30,176.35
2019-01-01,181.20,173.50
2018-10-01,179.10,225.00
2018-07-01,264.10,276.00
2018-04-01,340.40,335.00
2018-01-01,399.50,430.95
2017-10-01,428.40,428.00
2017-07-01,444.60,431.50
2017-04-01,458.90,468.25
2017-01-01,523.55,472.00
2016-10-01,531.95,539.40
2016-07-01,503.20,463.60
2016-04-01,408.35,386.40
2016-01-01,336.90,392.50
2015-10-01,384.95,301.45
2015-07-01,383.85,436.75
2015-04-01,508.25,543.27
2015-01-01,578.94,489.25
2014-10-01,530.16,495.88
2014-07-01,442.01,428.21
2014-04-01,410.35,400.85
2014-01-01,345.84,373.54
2013-10-01,377.11,329.37
2013-07-01,287.42,275.05
2013-04-01,296.82,264.12
2013-01-01,294.84,312.65
2012-10-01,252.05,265.16
2012-07-01,223.85,237.21
2012-04-01,313.19,276.93
2012-01-01,241.16,179.03
2011-10-01,196.34,152.37
2011-07-01,187.61,199.86
2011-04-01,244.74,245.57
2011-01-01,226.98,262.72
2010-10-01,229.34,218.65
2010-07-01,167.47,153.91
2010-04-01,172.67,150.39
